family,condition,metric,live_turn,episodes_with_event,denominator,percent,episodes_observed_at_this_live_turn
GPT,slow,first_cited_coordination_live_turn,5,13,50,26.0,50
GPT,slow,first_cited_coordination_live_turn,6,22,50,44.0,50
GPT,slow,first_cited_coordination_live_turn,7,25,50,50.0,50
GPT,slow,first_cited_coordination_live_turn,8,26,50,52.0,50
GPT,slow,first_cited_coordination_live_turn,9,30,50,60.0,50
GPT,slow,first_cited_coordination_live_turn,10,32,50,64.0,50
GPT,slow,first_cited_coordination_live_turn,11,32,50,64.0,50
GPT,slow,first_cited_coordination_live_turn,12,35,50,70.0,50
GPT,slow,first_cited_coordination_live_turn,13,39,50,78.0,50
GPT,slow,first_cited_coordination_live_turn,14,39,50,78.0,50
GPT,slow,first_cited_coordination_live_turn,15,41,50,82.0,50
GPT,slow,first_cited_coordination_live_turn,16,42,50,84.0,50
GPT,slow,first_cited_coordination_live_turn,17,43,50,86.0,50
GPT,slow,first_cited_coordination_live_turn,18,43,50,86.0,50
GPT,slow,first_cited_coordination_live_turn,19,45,50,90.0,50
GPT,slow,first_cited_coordination_live_turn,20,45,50,90.0,50
GPT,slow,first_cited_coordination_live_turn,21,46,50,92.0,50
GPT,slow,first_cited_coordination_live_turn,22,46,50,92.0,50
GPT,slow,first_cited_coordination_live_turn,23,47,50,94.0,50
GPT,slow,first_cited_coordination_live_turn,24,48,50,96.0,50
GPT,slow,first_cited_coordination_live_turn,25,49,50,98.0,50
GPT,slow,first_cited_coordination_live_turn,26,49,50,98.0,50
GPT,slow,first_cited_coordination_live_turn,27,49,50,98.0,50
GPT,slow,first_cited_coordination_live_turn,28,49,50,98.0,50
GPT,slow,first_cited_coordination_live_turn,29,49,50,98.0,50
GPT,slow,first_cited_coordination_live_turn,30,49,50,98.0,50
GPT,slow,first_cited_coordination_live_turn,31,49,50,98.0,50
GPT,slow,first_cited_coordination_live_turn,32,49,50,98.0,50
GPT,slow,first_cited_coordination_live_turn,33,50,50,100.0,50
GPT,slow,first_cited_coordination_live_turn,34,50,50,100.0,50
GPT,slow,first_cited_coordination_live_turn,35,50,50,100.0,49
GPT,slow,first_cited_coordination_live_turn,36,50,50,100.0,49
GPT,slow,first_cited_coordination_live_turn,37,50,50,100.0,49
GPT,slow,first_cited_coordination_live_turn,38,50,50,100.0,49
GPT,slow,first_cited_coordination_live_turn,39,50,50,100.0,48
GPT,slow,first_cited_coordination_live_turn,40,50,50,100.0,48
GPT,slow,first_cited_coordination_live_turn,41,50,50,100.0,48
GPT,slow,first_cited_coordination_live_turn,42,50,50,100.0,48
GPT,slow,first_cited_coordination_live_turn,43,50,50,100.0,46
GPT,slow,first_cited_coordination_live_turn,44,50,50,100.0,45
GPT,slow,first_cited_coordination_live_turn,45,50,50,100.0,45
GPT,slow,first_cited_coordination_live_turn,46,50,50,100.0,41
GPT,slow,first_cited_coordination_live_turn,47,50,50,100.0,40
GPT,slow,first_cited_coordination_live_turn,48,50,50,100.0,38
GPT,slow,first_cited_coordination_live_turn,49,50,50,100.0,37
GPT,slow,first_cited_coordination_live_turn,50,50,50,100.0,35
